tag	de.ct.up	de.ct.down	de.ct.up.perc	de.ct.down.perc
s_3dpa-s_1dpa-seq-ref	1327	1253	7.61287361597155	7.18834260799725
s_6dpa-s_3dpa-seq-ref	704	127	4.038781481269	0.728587000172107
s_9dpa-s_6dpa-seq-ref	238	26	1.36538351213356	0.149159543342321
s_12dpa-s_9dpa-seq-ref	214	169	1.22769777981757	0.969537031725088
s_15dpa-s_12dpa-seq-ref	155	21	0.889220354540761	0.12047501577649
s_21dpa-s_15dpa-seq-ref	21	13	0.12047501577649	0.0745797716711606
s_28dpa-s_21dpa-seq-ref	0	0	0	0
s_intact-s_28dpa-seq-ref	382	321	2.19149790602949	1.84154666972635
