tag	de.ct.up	de.ct.down	de.ct.up.perc	de.ct.down.perc
s_1dpa-s_intact-intact-ref	1215	2326	6.97034019849693	13.3440422236246
s_3dpa-s_intact-intact-ref	570	1457	3.27003614250473	8.35867133268315
s_6dpa-s_intact-intact-ref	325	899	1.86449429177901	5.15747805633641
s_9dpa-s_intact-intact-ref	200	517	1.14738110263324	2.96598015030692
s_12dpa-s_intact-intact-ref	290	449	1.6637025988182	2.57587057541162
s_15dpa-s_intact-intact-ref	243	346	1.39406803969939	1.9849693075555
s_21dpa-s_intact-intact-ref	109	203	0.625322700935116	1.16459181917274
s_28dpa-s_intact-intact-ref	59	101	0.338477425276806	0.579427456829786
