tag	de.ct.up	de.ct.down	de.ct.up.perc	de.ct.down.perc
s_1dpa-s_intact-intact-ref	2793	3702	16.0231770982732	21.2380242097413
s_3dpa-s_intact-intact-ref	1446	2463	8.29556537203832	14.1299982789283
s_6dpa-s_intact-intact-ref	942	1534	5.40416499340256	8.80041305719695
s_9dpa-s_intact-intact-ref	681	977	3.90683265446618	5.60495668636338
s_12dpa-s_intact-intact-ref	979	1286	5.61643049738971	7.37766048993173
s_15dpa-s_intact-intact-ref	709	813	4.06746600883483	4.66410418220412
s_21dpa-s_intact-intact-ref	476	604	2.73076702426711	3.46509092995238
s_28dpa-s_intact-intact-ref	321	382	1.84154666972635	2.19149790602949
