tag	de.ct.up	de.ct.down	de.ct.up.perc	de.ct.down.perc
s_1dpa-s_intact-intact-ref	4522	4551	25.9422867305375	26.1086569904194
s_3dpa-s_intact-intact-ref	3000	3163	17.2107165394986	18.1458321381447
s_6dpa-s_intact-intact-ref	2162	2147	12.4031897194653	12.3171361367678
s_9dpa-s_intact-intact-ref	1260	1501	7.22850094658941	8.61109517526246
s_12dpa-s_intact-intact-ref	2144	2049	12.2999254202283	11.7549193964775
s_15dpa-s_intact-intact-ref	1265	1435	7.25718547415524	8.23245941139349
s_21dpa-s_intact-intact-ref	764	1054	4.38299581205898	6.04669841087717
s_28dpa-s_intact-intact-ref	468	707	2.68487178016178	4.0559921978085
