tag	de.ct.up	de.ct.down	de.ct.up.perc	de.ct.down.perc
s_3dpa-s_1dpa-1dpa-ref	2178	2432	12.494980207676	13.9521542080202
s_6dpa-s_1dpa-1dpa-ref	3461	3399	19.8554299810682	19.4997418392519
s_9dpa-s_1dpa-1dpa-ref	3816	3591	21.8920314382422	20.6012276977798
s_12dpa-s_1dpa-1dpa-ref	3472	3075	19.918535941713	17.6409844529861
s_15dpa-s_1dpa-1dpa-ref	4102	3792	23.5327864150077	21.7543457059262
s_21dpa-s_1dpa-1dpa-ref	4327	4036	24.8235901554701	23.1541506511388
s_28dpa-s_1dpa-1dpa-ref	4328	4264	24.8293270609833	24.4621651081407
s_intact-s_1dpa-1dpa-ref	4551	4522	26.1086569904194	25.9422867305375
