tag	de.ct.up	de.ct.down	de.ct.up.perc	de.ct.down.perc
s_3dpa-s_1dpa-1dpa-ref	303	473	1.73828237048936	2.71355630772761
s_6dpa-s_1dpa-1dpa-ref	1075	849	6.16717342665366	4.8706327806781
s_9dpa-s_1dpa-1dpa-ref	1543	767	8.85204520681544	4.40020652859847
s_12dpa-s_1dpa-1dpa-ref	1382	901	7.92840341919569	5.16895186736274
s_15dpa-s_1dpa-1dpa-ref	1893	834	10.8599621364236	4.78457919798061
s_21dpa-s_1dpa-1dpa-ref	2170	908	12.4490849635706	5.20911020595491
s_28dpa-s_1dpa-1dpa-ref	2224	927	12.7588778612816	5.31811141070507
s_intact-s_1dpa-1dpa-ref	2326	1215	13.3440422236246	6.97034019849693
